Date,Adj_Close,Revenue,Net_Income,EPS,Gross_Profit_Margin,Operating_Margin,Net_Profit_Margin,Cash_Flow_From_Operations,Total_Assets,Total_Liabilites,Shareholders_Equity
2015-01-01,,29329.0,-214,-0.52,29.47,-0.27,-0.27,5076,48075.0,22922.0,10741.0
2015-01-02,15.426,29329.0,-214,-0.52,29.47,-0.27,-0.27,5076,48075.0,22922.0,10741.0
2015-01-05,15.1095,29329.0,-214,-0.52,29.47,-0.27,-0.27,5076,48075.0,22922.0,10741.0
2015-01-06,14.7645,29329.0,-214,-0.52,29.47,-0.27,-0.27,5076,48075.0,22922.0,10741.0
2015-01-07,14.921,29329.0,-214,-0.52,29.47,-0.27,-0.27,5076,48075.0,22922.0,10741.0
2015-01-08,15.023,29329.0,-214,-0.52,29.47,-0.27,-0.27,5076,48075.0,22922.0,10741.0
2015-01-09,14.8465,29329.0,-214,-0.52,29.47,-0.27,-0.27,5076,48075.0,22922.0,10741.0
2015-01-12,14.5705,29329.0,-214,-0.52,29.47,-0.27,-0.27,5076,48075.0,22922.0,10741.0
2015-01-13,14.737,29329.0,-214,-0.52,29.47,-0.27,-0.27,5076,48075.0,22922.0,10741.0
2015-01-14,14.6635,29329.0,-214,-0.52,29.47,-0.27,-0.27,5076,48075.0,22922.0,10741.0
2015-01-15,14.3475,29329.0,-214,-0.52,29.47,-0.27,-0.27,5076,48075.0,22922.0,10741.0
2015-01-16,14.537,29329.0,-214,-0.52,29.47,-0.27,-0.27,5076,48075.0,22922.0,10741.0
2015-01-20,14.472,29329.0,-214,-0.52,29.47,-0.27,-0.27,5076,48075.0,22922.0,10741.0
2015-01-21,14.8625,29329.0,-214,-0.52,29.47,-0.27,-0.27,5076,48075.0,22922.0,10741.0
2015-01-22,15.516,29329.0,-214,-0.52,29.47,-0.27,-0.27,5076,48075.0,22922.0,10741.0
2015-01-23,15.6195,29329.0,-214,-0.52,29.47,-0.27,-0.27,5076,48075.0,22922.0,10741.0
2015-01-26,15.483,29329.0,-214,-0.52,29.47,-0.27,-0.27,5076,48075.0,22922.0,10741.0
2015-01-27,15.3375,29329.0,-214,-0.52,29.47,-0.27,-0.27,5076,48075.0,22922.0,10741.0
2015-01-28,15.1955,29329.0,-214,-0.52,29.47,-0.27,-0.27,5076,48075.0,22922.0,10741.0
2015-01-29,15.589,29329.0,-214,-0.52,29.47,-0.27,-0.27,5076,48075.0,22922.0,10741.0
2015-01-30,17.7265,29329.0,-214,-0.52,29.47,-0.27,-0.27,5076,48075.0,22922.0,10741.0
2015-02-02,18.223499,29329.0,-214,-0.52,29.47,-0.27,-0.27,5076,48075.0,22922.0,10741.0
2015-02-03,18.1775,29329.0,-214,-0.52,29.47,-0.27,-0.27,5076,48075.0,22922.0,10741.0
2015-02-04,18.237499,29329.0,-214,-0.52,29.47,-0.27,-0.27,5076,48075.0,22922.0,10741.0
2015-02-05,18.6945,29329.0,-214,-0.52,29.47,-0.27,-0.27,5076,48075.0,22922.0,10741.0
2015-02-06,18.714001,29329.0,-214,-0.52,29.47,-0.27,-0.27,5076,48075.0,22922.0,10741.0
2015-02-09,18.528,29329.0,-214,-0.52,29.47,-0.27,-0.27,5076,48075.0,22922.0,10741.0
2015-02-10,18.65,29329.0,-214,-0.52,29.47,-0.27,-0.27,5076,48075.0,22922.0,10741.0
2015-02-11,18.757,29329.0,-214,-0.52,29.47,-0.27,-0.27,5076,48075.0,22922.0,10741.0
2015-02-12,18.8585,29329.0,-214,-0.52,29.47,-0.27,-0.27,5076,48075.0,22922.0,10741.0
2015-02-13,19.091499,29329.0,-214,-0.52,29.47,-0.27,-0.27,5076,48075.0,22922.0,10741.0
2015-02-17,18.7715,29329.0,-214,-0.52,29.47,-0.27,-0.27,5076,48075.0,22922.0,10741.0
