Date,Open,High,Low,Close,Adj_Close,Volume,Accumulation_Distribution_Line,On_Balance_Volume,Average_Directional_Index,Aroon_Oscillator,MACD,RSI,Stochastic_Oscillator,Simple_Moving_Average,Exponential_Moving_Average,Williams_%R
2014-04-03,17.091,17.125,16.423,16.681,16.681,127986000,-33910820.512819774,127986000,0.0,0.0,0.0,100.0,36.75213675213704,16.681,16.681,-63.24786324786296
2014-04-04,16.7575,16.771999,15.7805,16.15,16.15,250692000,-97753022.37888408,-122706000,0.0,-4.0,-0.04235897435897229,0.0,27.482335440684164,16.4155,16.641666666666666,-72.51766455931583
2014-04-07,16.0495,16.247,15.6565,15.888,15.888,141548000,-128315884.36025566,-264254000,0.0,-8.0,-0.09596376652786631,0.0,15.764385427306802,16.23966666666667,16.58583950617284,-84.23561457269321
2014-04-08,16.094,16.4,15.922,16.3535,16.3535,131552000,-22358729.54853931,-132702000,0.0,-8.0,-0.09973431575959069,39.90098880001399,47.46339802519583,16.268124999999998,16.56862917238226,-52.53660197480418
2014-04-09,16.4235,16.608999,16.125,16.5905,16.5905,101132000,71042507.09037852,-31570000,0.0,-8.0,-0.08264589346809714,50.688988250088734,63.602315287708464,16.3326,16.570249233687278,-36.39768471229153
2014-04-10,16.530001,16.549999,15.825,15.8555,15.8555,122534000,-41181721.44786775,-154104000,0.0,-8.0,-0.12694817351358623,31.690300014735726,13.551242764725895,16.253083333333333,16.517304846006738,-86.4487572352741
2014-04-11,15.7,15.825,15.475,15.5865,15.5865,145750000,-94068150.01929666,-299854000,0.0,-24.0,-0.1816699237086148,27.611359203050597,6.757575757575725,16.157857142857143,16.448356338895127,-93.24242424242426
2014-04-14,15.8835,16.024,15.564,15.7955,15.7955,85870000,-93508128.28016621,-213984000,0.0,-24.0,-0.20580041262256898,34.64936403288101,19.424242424242475,16.1125625,16.39999661008808,-80.57575757575752
2014-04-15,15.835,15.914,15.275,15.804,15.804,107972000,-22709586.80911754,-106012000,0.0,-32.0,-0.22168269980447164,34.92646679130044,28.594594594594597,16.078277777777778,16.35584871304452,-71.4054054054054
2014-04-16,16.0585,16.200001,15.7355,16.184,16.184,85698000,57084211.91682735,-20314000,0.0,-32.0,-0.20128639831103712,45.95875778026626,49.13513513513518,16.08885,16.343119178744924,-50.86486486486482
2014-04-17,15.988,16.433001,15.988,16.245501,16.245501,85984000,70609947.77809529,65670000,0.0,-32.0,-0.17810646525138552,47.509797199855576,52.45951351351355,16.103091000000003,16.335888202541597,-47.54048648648645
2014-04-21,16.1985,16.557501,16.115499,16.543501,16.543501,59988000,126797820.17686288,125658000,0.0,-32.0,-0.13414376595676814,54.347097793002845,68.56762162162157,16.139791833333334,16.351266928279255,-31.43237837837843
2014-04-22,16.6,16.875,16.447001,16.466,16.466,74232000,59156180.285181195,51426000,0.0,-32.0,-0.10435376775207672,52.43417863066934,64.37837837837843,16.16488476923077,16.359765674332643,-35.62162162162157
2014-04-23,16.653,16.6565,16.1695,16.229,16.229,72092000,4680089.936105117,-20666000,0.0,-32.0,-0.09873079174837684,46.98753853833743,51.56756756756752,16.169464428571427,16.35007932808578,-48.432432432432485
2014-04-24,16.4835,16.870001,16.147499,16.8575,16.8575,185874000,184121966.91360992,165208000,0.0,-32.0,-0.0430634368537568,59.116075289224824,98.90625000000011,16.215333466666667,16.38766604452387,-1.0937499999998936
2014-04-25,15.8125,15.8245,15.1355,15.1915,15.1915,323604000,-86878770.38682628,-158396000,0.0,-60.0,-0.1318589458468189,35.76056992943644,3.219315895372186,16.151343875,16.299061152336915,-96.78068410462782
2014-04-28,15.2,15.2195,14.4,14.829,14.829,289596000,-73273589.17877227,-447992000,0.0,-64.0,-0.22884278969213057,32.730491310289196,17.333333333333346,16.07355894117647,16.19016773364529,-82.66666666666666
2014-04-29,14.822,15.092,14.5225,15.019,15.019,130186000,23537246.642123044,-317806000,0.0,-64.0,-0.28706269253740935,35.80098428664644,25.010101010101003,16.014972333333333,16.103414568190082,-74.989898989899
2014-04-30,14.905,15.228,14.905,15.2065,15.2065,81772000,94423190.91456906,-236034000,0.0,-64.0,-0.31444794186020886,38.771134535897815,32.58585858585858,15.972421157894736,16.036976452027854,-67.41414141414143
2014-05-01,15.2065,15.524,15.2,15.3945,15.3945,86572000,111791030.42074272,-149462000,0.0,-64.0,-0.31732301820302666,41.68437443294895,40.18181818181821,15.943525099999999,15.989385603729495,-59.8181818181818
2014-05-02,15.521,15.6645,15.2155,15.4005,15.4005,79902000,97732549.35169998,-69560000,0.0,-64.0,-0.31548072168297736,41.77958243185339,40.42424242424238,15.917666761904762,15.94576444789768,-59.57575757575761
2014-05-05,15.3185,15.5115,15.25,15.5025,15.5025,50398000,144661470.9578184,-19162000,0.0,-64.0,-0.3023053529372639,43.46927108826502,44.54545454545452,15.898795545454545,15.912930044349704,-55.45454545454549
2014-05-06,15.4765,15.4905,14.852,14.869,14.869,93646000,56002102.124615416,-112808000,0.0,-64.0,-0.33907330787509693,36.4028721285015,18.94949494949493,15.854021826086955,15.835601892916392,-81.05050505050507
2014-05-07,14.778,14.82,14.334,14.6355,14.6355,140304000,89778991.0135045,-253112000,0.0,-92.0,-0.38264280752297175,34.19629171943362,11.865407319952803,15.803250083333333,15.746705456404067,-88.13459268004719
2014-05-08,14.541,14.794,14.3615,14.416,14.416,76964000,32211698.527955644,-330076000,0.0,-92.0,-0.42992782511007555,32.21918127118201,3.2270759543487104,15.74776008,15.648134681855618,-96.7729240456513
2014-05-09,14.5285,14.684,14.219,14.612,14.612,81260000,88307311.43118173,-248816000,0.0,-100.0,-0.4464397012810526,35.78916678247474,14.796686746987975,15.704077,15.571383964681127,-85.20331325301203
2014-05-12,14.715,15.167,14.708,15.143,15.143,74592000,155098840.8429467,-174224000,0.0,-52.0,-0.41192975011836097,44.34200630637092,34.85475863645474,15.644923153846154,15.539651819149192,-65.14524136354527
2014-05-13,15.13,15.28,15.0375,15.232,15.232,70198000,197507117.13160646,-104026000,28.535931125288574,-52.0,-0.3730979678670394,45.64875385132996,38.211981059230084,15.60961546153846,15.516862795508512,-61.788018940769916
2014-05-14,15.125,15.232,14.833,14.881,14.881,66466000,147032936.6804787,-170492000,28.194628106885197,-52.0,-0.36642237815028267,41.50957471206445,41.23326066645907,15.570884692307693,15.469761847693068,-58.766739333540926
2014-05-15,14.901,14.96,14.519,14.7595,14.7595,85902000,154824501.3063285,-256394000,28.327815760249546,-52.0,-0.36670876936193864,40.15235498535599,37.3919059149083,15.509577,15.417149858975064,-62.6080940850917
2014-05-16,14.64,14.944,14.5775,14.885,14.885,72736000,204142089.30087107,-183658000,28.45149000980216,-52.0,-0.35274273661481104,42.2526769191665,46.07402282947077,15.443980846153845,15.377731350902838,-53.92597717052923
2014-05-19,14.788,14.95,14.6905,14.838,14.838,45684000,210391730.91936803,-229342000,28.549345526796106,-52.0,-0.341530115669169,41.66298121985814,42.822552749913484,15.40484623076923,15.33775125083596,-57.17744725008652
2014-05-20,14.855,15.223,14.8375,15.0595,15.0595,81914000,222822260.10224712,-147428000,27.87777895923229,-52.0,-0.3111837019292025,45.521822019999455,58.14597025250777,15.384576999999998,15.317140047070334,-41.85402974749222
2014-05-21,15.1105,15.298,15.076,15.2505,15.2505,68176000,261823845.687833,-79252000,27.052072892876577,-52.0,-0.26862530139869634,48.67457198893109,71.3593912141128,15.363615461538462,15.312203747287347,-28.6406087858872
2014-05-22,15.2525,15.427,15.1505,15.2455,15.2455,51536000,245701371.90844804,-130788000,25.935268569352065,-52.0,-0.23261942860244567,48.59528855690605,79.41972920696325,15.342134692307694,15.307262728969766,-20.580270793036746
