Date,Open,High,Low,Close,Adj_Close,Volume,Accumulation_Distribution_Line,On_Balance_Volume,Average_Directional_Index,Aroon_Oscillator,MACD,RSI,Stochastic_Oscillator,Simple_Moving_Average,Exponential_Moving_Average,Williams_%R
2014-04-03,19.335358,19.375,19.201429,19.2425,16.949091,162344000,-85515146.97731955,162344000,0.0,0.0,0.0,100.0,23.66236295233592,19.2425,19.2425,-76.33763704766409
2014-04-04,19.278929,19.285713,18.949286,18.99357,16.729822,275251200,-288303529.5411488,-112907200,0.0,-4.0,-0.019857663817663962,0.0,10.402288860595993,19.118035,19.22406074074074,-89.59771113940401
2014-04-07,18.857857,18.960714,18.638929,18.695356,16.467159,289850400,-476499790.77893245,-402757600,0.0,-8.0,-0.05897851536919063,0.0,7.665972440158546,18.977142,19.184897426611794,-92.33402755984146
2014-04-08,18.756786,18.790001,18.525,18.694286,16.466215,243888400,-408790184.11178386,-646646000,0.0,-12.0,-0.08904199148085468,0.0,19.916000000000338,18.906428,19.148555839455366,-80.08399999999966
2014-04-09,18.665714,18.946072,18.643572,18.940001,16.682642,206169600,-210895993.3124479,-440476400,0.0,-12.0,-0.09198007685061071,34.94492247082749,48.82364705882347,18.9131426,19.13310733282904,-51.17635294117653
2014-04-10,18.952856,19.008572,18.684643,18.695715,16.46747,239652000,-434165224.59461355,-680128400,0.0,-12.0,-0.11272099186280471,25.43037020568741,20.084117647058942,18.876904666666665,19.10070790076763,-79.91588235294105
2014-04-11,18.535713,18.672501,18.469286,18.557501,16.345734,271717600,-469979293.0246066,-951846000,0.0,-24.0,-0.1387120450277699,21.811822013780784,9.739829570923956,18.83127557142857,19.06047035256262,-90.26017042907604
2014-04-14,18.639286,18.648571,18.471786,18.63143,16.410851,205674000,-304189423.850183,-746172000,0.0,-24.0,-0.15159717163817987,27.735030021926647,17.902340032284084,18.806294875,19.02868958570613,-82.09765996771591
2014-04-15,18.581072,18.629999,18.261786,18.498571,16.293823,266490000,-227938485.04574525,-1012662000,0.0,-32.0,-0.17056319195529923,24.188628058245186,21.27039365297218,18.772103333333334,18.98942154232049,-78.72960634702783
2014-04-16,18.501785,18.610357,18.362143,18.536072,16.326855,214765600,-141722141.70330596,-797896400,0.0,-32.0,-0.18048733673987982,27.025042714284666,24.639108024153508,18.748500200000002,18.955840094741195,-75.3608919758465
2014-04-17,18.571428,18.848572,18.542856,18.747856,16.513399,284334400,-44731704.272491395,-513562000,0.0,-32.0,-0.1693113779615345,40.5521896828466,43.663662153009064,18.748441636363637,18.94043386550111,-56.336337846990936
2014-04-21,18.762142,19.004999,18.712856,18.970358,16.709387,182548800,94525468.1286954,-331013200,0.0,-32.0,-0.1408763632154013,50.858559027433714,63.65101409073194,18.766934666666668,18.94265046805658,-36.34898590926806
2014-04-22,18.868214,18.993929,18.803572,18.989286,16.726055,202563200,287207224.9708363,-128450000,0.0,-32.0,-0.1154828631924758,51.626856913038864,65.35131609915071,18.784038615384613,18.946104951904243,-34.648683900849285
2014-04-23,18.895,18.968929,18.730356,18.741072,16.507427,394940000,-72253680.24476254,-523390000,0.0,-32.0,-0.11407217385038493,42.28956038972066,43.05425551601028,18.780969571428574,18.930917325837264,-56.94574448398972
2014-04-24,20.293215,20.357143,20.026072,20.2775,17.860731,759911600,322046678.91082436,236521600,0.0,24.000000000000007,0.010897091860378794,73.83500801901661,96.19907252081623,18.880738266666665,19.03066419059006,-3.8009274791837764
2014-04-25,20.161785,20.428213,20.14143,20.42643,17.991913,390275200,707469006.3095902,626796800,0.0,28.0,0.1205637576809444,75.24740785189474,99.91769858850542,18.977344,19.13405425054635,-0.08230141149457826
2014-04-28,20.457144,21.276787,20.448214,21.217501,18.688694,669485600,1281148628.3653412,1296282400,0.0,32.0,0.2682163675667866,81.08733818387695,98.03363249299088,19.10911794117647,19.28838363939477,-1.9663675070091258
2014-04-29,21.205,21.285,21.053928,21.154642,18.633331,337377600,1237866787.3183935,958904800,0.0,36.0,0.37582762183556184,79.48263061960479,95.68809882462831,19.222758166666665,19.426624999439603,-4.311901175371678
2014-04-30,21.165714,21.408215,21.064285,21.074642,18.562868,456640800,808728262.5813808,502264000,0.0,40.0,0.4494737313414596,77.38369310141115,89.39836239749894,19.320225736842104,19.548700332814448,-10.601637602501055
2014-05-01,21.142857,21.242857,20.941429,21.124287,18.60659,244048000,860778363.5142715,746312000,0.0,40.0,0.5060117518222498,77.77590571848387,90.97618284092856,19.4104288,19.665410456309672,-9.023817159071434
2014-05-02,21.155001,21.22143,21.061071,21.16357,18.641201,191514400,914090066.0167805,937826400,0.0,40.0,0.5476750926340088,78.09954910967262,92.22467756304054,19.493911714285712,19.776385237323773,-7.775322436959443
2014-05-05,21.076429,21.464287,21.071428,21.462856,18.904819,287067200,1199065965.253911,1224893600,0.0,52.0,0.5979506662884191,80.43700995389341,99.95531617320339,19.58340918181818,19.901308997522012,-0.044683826796624984
2014-05-06,21.492857,21.586071,21.22893,21.22893,18.698763,374564400,824501565.253911,850329200,0.0,56.0,0.6118653446069651,73.8062794402916,88.92217816278769,19.65495356521739,19.99965129400186,-11.07782183721231
2014-05-07,21.258928,21.331785,20.990356,21.154642,18.633331,282864400,813849899.4879682,567464800,0.0,56.0,0.6098682254023267,71.78256474391353,85.82324942536096,19.71744058333333,20.085206161112836,-14.176750574639037
2014-05-08,21.008928,21.22893,20.942858,20.999643,18.600119,230297200,674980217.7491027,337167600,0.0,56.0,0.5889888730294324,67.61670278448985,79.58983229587759,19.76872868,20.152942223252627,-20.410167704122426
2014-05-09,20.876429,20.9375,20.72607,20.912144,18.522612,291597600,896637423.8069035,45570000,0.0,56.0,0.5589383049534682,65.31239549698068,76.40076128044993,19.812706192307694,20.20917939190058,-23.599238719550062
2014-05-12,20.981787,21.202143,20.978571,21.172501,18.753223,213208800,1053310206.3306562,258778800,0.0,56.0,0.5497939646665628,68.7274706493292,85.51781252681027,19.886936999999996,20.280536548056094,-14.482187473189727
2014-05-13,21.142857,21.23357,21.09643,21.205713,18.78264,159737200,1148153149.652806,418516000,37.17863331809524,56.0,0.5390135275225028,69.14478658110951,75.61806129362898,19.972019423076922,20.349068137088977,-24.381938706371017
2014-05-14,21.158215,21.335714,21.133572,21.209642,18.786123,166404000,1106991328.715047,584920000,36.9473718517076,56.0,0.5247381362840251,69.19715439904635,73.94307651520333,20.06872273076923,20.41281434915646,-26.056923484796673
2014-05-15,21.239286,21.307142,21.001429,21.029285,18.626369,230846000,918213845.107873,354074000,36.23296620811766,56.0,0.49318633817656377,63.84079320354766,51.06713761043798,20.158530384615382,20.458478841811537,-48.93286238956202
2014-05-16,21.022499,21.340357,20.907143,21.339643,18.90127,276256400,1193559623.2461576,630330400,35.21974000433948,56.0,0.48760381443793577,68.37705908385715,71.34561471440132,20.25082430769231,20.52375026093661,-28.654385285598682
2014-05-19,21.351786,21.690357,21.333214,21.592501,19.125227,317755200,1337187076.9305344,948085600,35.022935392771444,92.0,0.49784431219898195,71.51271957914686,89.85198390105847,20.36223915384615,20.60291698234871,-10.148016098941527
2014-05-20,21.589643,21.657143,21.454643,21.596786,19.129034,234836000,1432032988.5157204,1182921600,34.84018825345827,92.0,0.5005358781120641,71.56417739935438,90.29635367893611,20.47913473076923,20.676536909582136,-9.703646321063884
2014-05-21,21.565357,21.667856,21.502144,21.653929,19.179644,196859600,1595803088.066751,1379781200,34.69326968000306,92.0,0.5014989582079288,72.28319650658223,96.22228651843307,20.59538469230769,20.748936323687165,-3.7777134815669284
2014-05-22,21.664286,21.780357,21.575001,21.688213,19.210003,200760000,1616399572.6106682,1580541200,34.800203642078486,100.0,0.4992733262806688,72.72874289318528,91.26006485899971,20.71806323076923,20.81851237378441,-8.739935141000286
2014-05-23,21.6875,21.954643,21.659643,21.933214,19.427015,232209600,1814873447.062192,1812750800,35.25487789364044,100.0,0.511384112362947,75.73109127814047,98.25578130074474,20.848722538461537,20.901082864615198,-1.7442186992552529
2014-05-27,21.995714,22.352142,21.986786,22.343929,19.790802,348866000,2148054819.148593,2161616800,36.352530214955664,100.0,0.547808470548631,79.75486844088087,99.49491781421723,20.98703303846154,21.00796035612518,-0.5050821857827547
2014-05-28,22.357857,22.493929,22.277857,22.286072,19.739553,315481600,1856562272.2790306,1846135200,37.57687843109171,96.0,0.565487868323185,77.79804172717621,88.24244467460355,21.1145605,21.102635292708502,-11.757555325396451
2014-05-29,22.423214,22.745358,22.420357,22.692142,20.099222,376474000,2109747787.7266777,2222609200,39.045801879712705,100.0,0.6052879905873176,81.2712689520544,97.36461564670323,21.256978038461536,21.220376530285648,-2.6353843532967587
2014-05-30,22.785,23.006071,22.460714,22.607143,20.023937,564020800,1848607492.5086858,1658588400,40.710008166665126,100.0,0.6227920067134924,78.5028923693396,80.99372632124597,21.405673076923076,21.32309997248671,-19.006273678754035
2014-06-02,22.64143,22.672501,22.232143,22.451786,19.886335,369350800,1847708351.2245452,1289237600,41.25122380103526,96.0,0.6170154836589177,73.57011777352064,73.59199553295772,21.489299461538458,21.4067063448951,-26.408004467042264
2014-06-03,22.445,22.812143,22.4375,22.769285,20.167549,292709200,2073447497.6343288,1581946800,41.95287739159043,92.0,0.6307857578052278,76.78113618445933,88.71871736429269,21.579409269230766,21.507638097125092,-11.281282635707319
2014-06-04,22.765715,23.138929,22.718214,23.029285,20.39784,335482000,2234067235.019496,1917428800,43.02235416331241,68.0,0.6551267331870392,79.02812307067477,95.0871633749831,21.64909326923077,21.620352682523233,-4.912836625016889
2014-06-05,23.078571,23.191786,22.950357,23.119642,20.477882,303805600,2356305987.570346,2221234400,44.078226500091795,72.0,0.673939432039603,79.76114774253928,96.84221998798054,21.724670192307695,21.731411150484476,-3.157780012019452
2014-06-06,23.210714,23.259287,23.016787,23.05607,20.421566,349938400,2119741856.990545,1871296000,45.140957725506226,76.0,0.6759272339093911,77.7033172122432,89.44915379635131,21.800878961538462,21.829534028226366,-10.550846203648684
2014-06-09,23.174999,23.469999,22.9375,23.424999,20.748341,301660000,2370416972.511887,2172956000,46.37421123934074,80.0,0.6992119876944471,80.7992898052656,97.76714386937088,21.889367884615385,21.947716618728116,-2.232856130629114
2014-06-10,23.682501,23.762501,23.3925,23.5625,20.870127,251108000,2350056240.7625146,2424064000,47.81914003146988,84.0,0.7204555413699794,81.81289354988202,91.15179593312028,21.98163442307692,22.067330202526033,-8.848204066879719
2014-06-11,23.532499,23.690001,23.3675,23.465,20.78377,182724000,2277816177.246433,2241340000,49.039825593864016,84.0,0.7211112538921789,78.64265092743437,86.39995428571427,22.05863996153846,22.170861298635216,-13.600045714285736
2014-06-12,23.51,23.530001,22.975,23.0725,20.436127,218996000,2135764579.1484118,2022344000,48.44494421423196,84.0,0.6820966553965562,67.33145610021523,67.18746582032651,22.1295465,22.237649350588164,-32.81253417967349
2014-06-13,23.049999,23.110001,22.719999,22.82,20.212479,218100000,2029511277.883289,1804244000,46.956785852029476,84.0,0.6236140308726768,61.23015954930611,46.92273253309235,22.193598730769228,22.28078643572978,-53.07726746690765
2014-06-16,22.877501,23.1875,22.862499,23.049999,20.416193,142244000,2051394465.184251,1946488000,45.727827390054706,84.0,0.5890350967770708,64.3950839620527,53.442135761697536,22.27245857692308,22.33776514419424,-46.557864238302464
2014-06-17,23.077499,23.174999,22.950001,23.02,20.38962,118904000,2006474777.0092444,1827584000,44.586651675363846,64.0,0.5528376059981497,63.66506186237332,51.481875482730125,22.353529961538463,22.38830105943911,-48.518124517269875
2014-06-18,23.067499,23.0725,22.8375,23.045,20.411758,134056000,2109155968.4986067,1961640000,43.087464467999375,64.0,0.5201719068864854,64.03101826610137,53.115480168692635,22.425549153846152,22.436945425406584,-46.884519831307365
2014-06-19,23.0725,23.075001,22.834999,22.965,20.340904,142112000,2120998536.4772065,1819528000,41.69536206116094,64.0,0.48226947132165776,61.883129167957335,47.88794517361293,22.493214038461538,22.47606057908017,-52.11205482638707
2014-06-20,22.9625,23.137501,22.725,22.727501,20.130543,403592000,1722300505.6651576,1415936000,39.95215377833754,64.0,0.4281320933569468,55.88927212310625,21.88685140614989,22.551593230769228,22.4946857954446,-78.11314859385011
2014-06-23,22.83,22.905001,22.65,22.7075,20.112829,174776000,1626344745.5857866,1241160000,38.03086178456137,64.0,0.3792422491583025,55.4025973355673,5.168534679968908,22.616139961538465,22.510449810596853,-94.83146532003109
2014-06-24,22.6875,22.934999,22.547501,22.57,19.991037,156144000,1488332884.8794086,1085016000,35.83919981948884,60.0,0.3256477302088463,52.047203764697606,1.8517695473250886,22.663461384615385,22.514860935737826,-98.14823045267491
2014-06-25,22.5525,22.674999,22.4125,22.59,20.008757,147476000,1540301378.0012867,1232492000,33.29179374245318,56.00000000000001,0.28154207883580895,52.49785292223827,13.14813840878626,22.701826730769234,22.520426792349838,-86.85186159121375
2014-06-26,22.592501,22.762501,22.450001,22.725,20.128332,130516000,1639492702.6988876,1363008000,31.244056028971233,52.0,0.25454714310096804,55.53542916657954,23.148131001384463,22.745219576923077,22.535580363286886,-76.85186899861554
2014-06-27,22.705,23.0,22.692499,22.995001,20.367474,256116000,1887281419.9648452,1619124000,30.127628257573946,48.0,0.2520349838431777,60.9181880453979,43.14819026059963,22.79679926923077,22.56961152156193,-56.85180973940037
2014-06-30,23.025,23.432501,23.022499,23.2325,20.577837,197929200,1892108937.8793945,1817053200,30.202024219439842,44.0,0.2661403635261834,64.93885426471493,64.18781668272682,22.856194923076924,22.6187143718166,-35.812183317273174
2014-07-01,23.379999,23.5175,23.282499,23.379999,20.708481,152892000,1866084227.8058221,1969945200,30.455713137569017,40.0,0.2859249503031691,67.19601218979052,86.57701424875705,22.9118405,22.675105825756113,-13.422985751242948
2014-07-02,23.467501,23.514999,23.272499,23.370001,20.699631,113860000,1843783631.6821096,1856085200,30.646045809366644,24.0,0.29736972968338904,66.88170672711024,86.65167420814477,22.951304807692306,22.72657954236677,-13.348325791855226
2014-07-03,23.4175,23.525,23.299999,23.5075,20.821417,91567200,1921107108.3208814,1947652400,30.847020779916967,24.0,0.3139161895432956,69.02735168709009,98.42696629213498,22.99828280769231,22.784425502191453,-1.5730337078650192
2014-07-07,23.535,23.997499,23.525,23.9925,21.251001,225872000,2142199694.4893162,2173524400,32.008832026263214,96.0,0.3619920063618203,75.14439023559538,99.68460547924626,23.04829657692308,22.87391250202912,-0.3153945207537374
2014-07-08,24.067499,24.200001,23.48,23.8375,21.11371,260888000,2140387612.4394288,1912636400,33.41445335078508,100.0,0.38316830721551653,70.36168361050113,79.72023512154668,23.095617999999998,22.945289353730665,-20.279764878453324
2014-07-09,23.860001,23.987499,23.690001,23.8475,21.122568,145744000,2148960846.545205,2058380400,34.719673152126816,32.0,0.39619055652008583,70.49217066420638,80.27967536801377,23.149299307692306,23.012119771972838,-19.72032463198624
2014-07-10,23.440001,23.887501,23.379999,23.76,21.045063,158744000,2227941540.217349,1899636400,34.48912469366542,32.0,0.3948981244194485,67.68419152220753,75.38457321142762,23.187403730769233,23.067518307382258,-24.61542678857237
2014-07-11,23.84,23.9725,23.715,23.805,21.084915,136072000,2186987831.4794846,2035708400,34.460143933762915,31.999999999999993,0.3929750152304088,68.3817489711941,77.902054320529,23.21723892307692,23.122146580909497,-22.097945679470996
2014-07-14,23.965,24.2225,23.9125,24.112499,21.357283,171240000,2236701565.4149675,2206948400,34.93699498619968,48.0,0.411519792757737,72.71578309147968,93.92259668508284,23.255425730769225,23.195506019360646,-6.077403314917157
2014-07-15,24.200001,24.2125,23.7575,23.83,21.107063,181911600,2112761793.9863946,2025036800,34.70761806473494,48.0,0.3988239598488583,64.0319916645395,78.31491712707171,23.28519226923077,23.24250557348208,-21.685082872928295
2014-07-16,24.2425,24.275,23.684999,23.695,20.98749,213585200,1906417482.002516,1811451600,34.188879716830925,56.0,0.3735628490530267,60.32453391567631,68.21916066803331,23.295576923076926,23.276023679150075,-31.780839331966693
2014-07-17,23.7575,23.82,23.1425,23.272499,20.613272,229192000,1765180406.8969817,1582259600,31.8181408802711,56.0,0.31581047052007705,50.47464886156633,36.65084571826491,23.284423038461536,23.275762591805623,-63.34915428173509
2014-07-18,23.405001,23.684999,23.254999,23.6075,20.909988,199952000,1893057615.9760518,1782211600,29.616740532036975,56.0,0.293687627276082,56.53478113723561,46.70662937594481,23.28990380769231,23.300335733153357,-53.29337062405519
2014-07-21,23.747499,23.75,23.43,23.485001,20.801479,156316000,1790476217.9510524,1625895600,27.770784253666047,56.0,0.2632360477854796,53.93580193593124,30.24291390728495,23.305769230769233,23.31401464180866,-69.75708609271504
2014-07-22,23.67,23.7225,23.530001,23.68,20.974209,220788000,1913772906.307875,1846683600,26.05668199517876,56.0,0.25193360746907345,57.30084691806454,47.461368653421744,23.338846153846156,23.34112466834135,-52.538631346578256
2014-07-23,23.855,24.469999,23.7925,24.297501,21.521145,371672000,2096182112.8395443,2218355600,26.33523605332868,76.0,0.2894667199565717,65.81674944455423,87.00579058816614,23.386827,23.411967359575325,-12.994209411833872
2014-07-24,24.26,24.33,24.105,24.2575,21.485722,182916000,2161218912.839546,2035439600,26.593893393039313,76.0,0.31238327566664736,64.91358899954133,83.99253031452373,23.43442315384615,23.47459940701419,-16.00746968547627
2014-07-25,24.2125,24.459999,24.16,24.4175,21.627436,173876000,2285831041.133308,2209315600,27.094367219989458,76.0,0.33954145150027415,66.87180276838039,96.04527009059888,23.487211615384616,23.54444389538351,-3.954729909401125
