Date,Adj_Close,Revenue,Net_Income,EPS,Gross_Profit_Margin,Operating_Margin,Net_Profit_Margin,Cash_Flow_From_Operations,Total_Assets,Total_Liabilites,Shareholders_Equity
2015-01-02,24.435265,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-01-05,23.746889,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-01-06,23.749128,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-01-07,24.08213,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-01-08,25.007435,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-01-09,25.03425,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-01-12,24.417383,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-01-13,24.63418,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-01-14,24.540316,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-01-15,23.874289,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-01-16,23.688776,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-01-20,24.298935,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-01-21,24.48444,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-01-22,25.121412,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-01-23,25.251043,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-01-26,25.277866,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-01-27,24.392805,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-01-28,25.771799,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-01-29,26.574167,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-01-30,26.185282,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-02-02,26.513824,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-02-03,26.518284,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-02-04,26.721668,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-02-05,26.912403,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-02-06,26.68577,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-02-09,26.863041,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-02-10,27.379118,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-02-11,28.020851,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-02-12,28.375374,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-02-13,28.514488,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-02-17,28.682779,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-02-18,28.882477,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-02-19,28.821896,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-02-20,29.057499,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-02-23,29.842831,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-02-24,29.656599,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-02-25,28.898184,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-02-26,29.263927,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-02-27,28.824141,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-03-02,28.965498,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-03-03,29.026083,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-03-04,28.842085,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-03-05,28.364151,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-03-06,28.406786,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-03-09,28.527954,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-03-10,27.937824,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-03-11,27.42848,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-03-12,27.924366,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-03-13,27.731396,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-03-16,28.036556,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-03-17,28.50551,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-03-18,28.82638,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-03-19,28.608728,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-03-20,28.249722,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-03-23,28.543661,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-03-24,28.426983,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-03-25,27.684275,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-03-26,27.877245,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-03-27,27.655107,74599.0,18024.0,3.08,39.88,32.52,24.19,33722.0,261894.0,138566.0,123328.0
2015-03-30,28.355177,58010.0,13569.0,2.34,40.75,31.49,23.38,52803.0,261194.0,132188.0,129006.0
2015-03-31,27.91988,58010.0,13569.0,2.34,40.75,31.49,23.38,52803.0,261194.0,132188.0,129006.0
2015-04-01,27.879488,58010.0,13569.0,2.34,40.75,31.49,23.38,52803.0,261194.0,132188.0,129006.0
2015-04-02,28.119577,58010.0,13569.0,2.34,40.75,31.49,23.38,52803.0,261194.0,132188.0,129006.0
2015-04-06,28.575071,58010.0,13569.0,2.34,40.75,31.49,23.38,52803.0,261194.0,132188.0,129006.0
2015-04-07,28.274406,58010.0,13569.0,2.34,40.75,31.49,23.38,52803.0,261194.0,132188.0,129006.0
2015-04-08,28.182404,58010.0,13569.0,2.34,40.75,31.49,23.38,52803.0,261194.0,132188.0,129006.0
2015-04-09,28.397816,58010.0,13569.0,2.34,40.75,31.49,23.38,52803.0,261194.0,132188.0,129006.0
2015-04-10,28.518976,58010.0,13569.0,2.34,40.75,31.49,23.38,52803.0,261194.0,132188.0,129006.0
2015-04-13,28.462883,58010.0,13569.0,2.34,40.75,31.49,23.38,52803.0,261194.0,132188.0,129006.0
2015-04-14,28.339478,58010.0,13569.0,2.34,40.75,31.49,23.38,52803.0,261194.0,132188.0,129006.0
