Date,Adj_Close,Revenue,Net_Income,EPS,Gross_Profit_Margin,Operating_Margin,Net_Profit_Margin,Cash_Flow_From_Operations,Total_Assets,Total_Liabilites,Shareholders_Equity
2015-01-02,26.168653,15832.0,1798.0,2.87,59.45,23.23,19.89,15879.0,123290.0,14992.0,89129.0
2015-01-05,25.623152,15832.0,1798.0,2.87,59.45,23.23,19.89,15879.0,123290.0,14992.0,89129.0
2015-01-06,25.029282,15832.0,1798.0,2.87,59.45,23.23,19.89,15879.0,123290.0,14992.0,89129.0
2015-01-07,24.986401,15832.0,1798.0,2.87,59.45,23.23,19.89,15879.0,123290.0,14992.0,89129.0
2015-01-08,25.065184,15832.0,1798.0,2.87,59.45,23.23,19.89,15879.0,123290.0,14992.0,89129.0
2015-01-09,24.740576,15832.0,1798.0,2.87,59.45,23.23,19.89,15879.0,123290.0,14992.0,89129.0
2015-01-12,24.56007,15832.0,1798.0,2.87,59.45,23.23,19.89,15879.0,123290.0,14992.0,89129.0
2015-01-13,24.741074,15832.0,1798.0,2.87,59.45,23.23,19.89,15879.0,123290.0,14992.0,89129.0
2015-01-14,24.974932,15832.0,1798.0,2.87,59.45,23.23,19.89,15879.0,123290.0,14992.0,89129.0
2015-01-15,25.020805,15832.0,1798.0,2.87,59.45,23.23,19.89,15879.0,123290.0,14992.0,89129.0
2015-01-16,25.334444,15832.0,1798.0,2.87,59.45,23.23,19.89,15879.0,123290.0,14992.0,89129.0
2015-01-20,25.275606,15832.0,1798.0,2.87,59.45,23.23,19.89,15879.0,123290.0,14992.0,89129.0
2015-01-21,25.831081,15832.0,1798.0,2.87,59.45,23.23,19.89,15879.0,123290.0,14992.0,89129.0
2015-01-22,26.646341,15832.0,1798.0,2.87,59.45,23.23,19.89,15879.0,123290.0,14992.0,89129.0
2015-01-23,26.92358,15832.0,1798.0,2.87,59.45,23.23,19.89,15879.0,123290.0,14992.0,89129.0
2015-01-26,26.687229,15832.0,1798.0,2.87,59.45,23.23,19.89,15879.0,123290.0,14992.0,89129.0
2015-01-27,25.8605,15832.0,1798.0,2.87,59.45,23.23,19.89,15879.0,123290.0,14992.0,89129.0
