Date,Open,High,Low,Close,Adj_Close,Volume,Accumulation_Distribution_Line,On_Balance_Volume,Average_Directional_Index,Aroon_Oscillator,MACD,RSI,Stochastic_Oscillator,Simple_Moving_Average,Exponential_Moving_Average,Williams_%R
2014-03-27,28.322241,28.322241,27.570307,27.846546,27.846546,262719,-69688.13867174543,262719,0.0,0.0,0.0,100.0,36.737133844193714,27.846546,27.846546,-63.262866155806286
2014-03-28,27.983171,28.243956,27.857019,27.922838,27.922838,824257,-613528.5774072601,1086976,0.0,0.0,0.006085971509971699,100.0,46.88323709261691,27.884692,27.85219725925926,-53.11676290738309
2014-03-31,28.266893,28.272379,27.770258,27.772251,27.772251,216593,-828402.1916456588,870383,0.0,0.0,-0.0012278111703665218,31.993274869081148,26.856612415451416,27.847211666666666,27.846275314128945,-73.14338758454859
2014-04-01,27.859013,28.344681,27.859013,28.280355,28.280355,158434,-711936.8841845957,1028817,0.0,12.0,0.03358852218459063,80.40809568381752,91.69316118568017,27.9554975,27.87842936493421,-8.306838814319836
2014-04-02,29.917362,30.158699,28.032537,28.272379,28.272379,2942055,-2990234.037595296,-1913238,0.0,16.0,0.05984723894777133,79.45189741085835,27.12386686406083,28.0188738,27.907610819383525,-72.87613313593917
2014-04-03,28.414488,29.283602,28.129271,28.409002,28.409002,101983228,-55545922.87999111,100069990,0.0,16.0,0.09063698867450398,83.148551202402,32.40216319630109,28.083895166666668,27.944750906836596,-67.59783680369891
2014-04-04,28.653831,28.809404,27.075665,27.082645,27.082645,127386783,-181906992.3840845,-27316793,0.0,-8.0,0.00792085539858789,28.86232439784007,0.2264003575698049,27.94085942857143,27.880891210033884,-99.7735996424302
2014-04-07,26.962973,27.348913,26.285334,26.833828,26.833828,88033033,-179141710.63303712,-115349826,0.0,-12.000000000000004,-0.07682414765688961,25.499043372321395,14.160658755371664,27.8024805,27.803330972253594,-85.83934124462834
2014-04-08,27.055719,27.674021,27.006353,27.669035,27.669035,63024560,-117058458.15761498,-52325266,0.0,-12.000000000000004,-0.07571811702905151,47.58034861722469,35.72348590953866,27.78765322222222,27.79338312245703,-64.27651409046133
2014-04-09,27.904388,28.191101,27.571802,28.12977,28.12977,66616395,-63636497.90317392,14291129,0.0,-12.000000000000004,-0.037234895118018585,55.428416000203846,47.61844029674461,27.8218649,27.818300668941692,-52.38155970325539
2014-04-10,28.172651,28.172651,26.921087,26.973444,26.973444,80737057,-137618566.59518638,-66445928,0.0,-12.000000000000004,-0.09890242330603627,39.460586151184806,17.76517317629508,27.744735727272726,27.75571869346453,-82.23482682370492
2014-04-11,26.554594,26.926073,26.254417,26.457361,26.457361,78496923,-168679065.17163646,-144942851,0.0,-28.0,-0.18725935937008487,34.661245868309635,5.197985186520819,27.6374545,27.659544049504195,-94.80201481347918
2014-04-14,26.838814,27.130512,26.405504,26.553099,26.553099,51501009,-199211225.76346728,-93441842,0.0,-28.0,-0.24671364991177214,36.21117588248736,7.650113388325934,27.55404253846154,27.577585156948327,-92.34988661167407
2014-04-15,26.767509,26.848787,25.852022,26.748562,26.748562,77101101,-137615199.3752868,-16340741,0.0,-36.0,-0.27489060518048447,39.373238751074666,20.8174423110904,27.496508214285715,27.516176034211416,-79.1825576889096
2014-04-16,27.075665,27.773746,26.926073,27.750811,27.750811,97865955,-45045049.899174035,81525214,0.0,-36.0,-0.21388242363681798,52.40217046993487,44.08942207646402,27.513461733333333,27.533556402047605,-55.910577923535975
2014-04-17,27.365368,27.399775,26.484785,26.731607,26.731607,136190888,-107759927.54291634,-54665674,0.0,-36.0,-0.24495060705831406,42.41887811913913,20.42375130524066,27.4645958125,27.474152742636672,-79.57624869475934
2014-04-21,26.731607,26.761526,26.208046,26.358631,26.358631,51334553,-131161353.19050986,-106000227,0.0,-36.0,-0.29625338772121523,39.45645538518406,11.763338648336008,27.39953905882353,27.391521502441364,-88.23666135166398
2014-04-22,26.359631,26.787954,26.303284,26.667286,26.667286,47307527,-107410079.59194157,-58692700,0.0,-36.0,-0.30844971573093716,43.00385757392613,18.930233216932677,27.358858333333334,27.33787442818645,-81.06976678306732
2014-04-23,26.616425,26.620415,26.240458,26.274862,26.274862,41046384,-141023202.48536405,-99739084,0.0,-36.0,-0.34579462553079665,39.81009432279096,12.322020760116262,27.301805894736844,27.259132766839304,-87.67797923988374
2014-04-24,26.430935,26.509718,26.034521,26.186106,26.186106,37663121,-154657702.94783995,-137402205,0.0,-36.0,-0.3781930292140956,39.10275227438499,11.296613017865033,27.2460209,27.179649302628984,-88.70338698213497
2014-04-25,26.053968,26.16317,25.700439,25.738335,25.738335,42007014,-189784271.0622434,-179409219,0.0,-64.0,-0.4349861257840395,35.66032704603222,1.5215231934321045,27.174226333333337,27.07288528021202,-98.47847680656788
2014-04-28,25.788198,25.859003,25.071167,25.786703,25.786703,66710653,-135317740.4732531,-112698566,0.0,-68.0,-0.470666618814235,36.31255270686579,22.934331303162182,27.111157090909092,26.97761251871483,-77.06566869683782
2014-04-29,25.774237,26.400517,25.745316,26.312757,26.312757,53981801,-95796976.1803398,-58716765,0.0,-68.0,-0.4512932772417173,43.07186997198518,39.795393107674776,27.076444043478258,26.92836396177299,-60.204606892325224
2014-04-30,26.307772,26.327717,26.054466,26.2609,26.2609,35023895,-77901593.73630503,-93740660,0.0,-68.0,-0.435108530684996,42.59198339877362,38.36012051005263,27.042463041666664,26.87892218682684,-61.63987948994737
2014-05-01,26.283339,26.573542,26.12228,26.494759,26.494759,38110345,-53098140.564710945,-55630315,0.0,-68.0,-0.39881425311850904,45.53886664529802,52.6753149491652,27.02055488,26.8504656544693,-47.3246850508348
2014-05-02,26.614929,26.626896,26.208544,26.324226,26.324226,33770463,-68192298.91806889,-89400778,0.0,-68.0,-0.37943744587275674,43.774258761376466,46.36530514001627,26.993772999999997,26.811484939323424,-53.63469485998373
2014-05-05,26.169153,26.372595,25.994633,26.318243,26.318243,20482080,-53600980.48753899,-109882858,0.0,-68.0,-0.3604093895306697,43.71026396219484,46.143924007401814,26.934992115384617,26.77494849937354,-53.856075992598186
2014-05-06,26.189596,26.268379,25.682489,25.686478,25.686478,33780490,-86921485.25273375,-143663348,11.825477125785357,-68.0,-0.3917913466469152,37.47950477798786,22.76754907072104,26.84897826923077,26.6943210549755,-77.23245092927895
2014-05-07,25.718889,25.763268,25.0961,25.428186,25.428186,64486563,-87211070.09905128,-208149911,12.899571684586975,-68.0,-0.4325179814628157,35.26612779010702,15.331863499567152,26.75882192307692,26.600533273125464,-84.66813650043285
2014-05-08,25.353392,25.790691,25.253166,25.480045,25.480045,40426688,-93511097.7697567,-167723223,13.84706918948422,-68.0,-0.45536043345290267,36.08229767772722,23.816466457399862,26.65111769230769,26.517534141782836,-76.18353354260013
2014-05-09,25.467579,25.923826,25.140976,25.865486,25.865486,48789585,-51993364.05391046,-118933638,14.474810035652213,-64.0,-0.43732021853399416,41.941435696024776,46.267766473068676,26.558544884615383,26.46923427942855,-53.732233526931324
2014-05-12,26.103832,26.436916,25.879448,26.423454,26.423454,38250730,-15590027.365311362,-80682908,14.14654295872805,-60.0,-0.37369217301594304,49.20090122766552,86.92304379490265,26.482177653846154,26.46584314761903,-13.076956205097359
2014-05-13,26.471823,26.730112,26.403011,26.58152,26.58152,33068541,-12565543.976091653,-47614367,13.369550941955472,-48.00000000000001,-0.3069732863791117,51.06749436281606,91.04298213623736,26.462903615384615,26.474411803350954,-8.957017863762648
2014-05-14,26.577032,26.577032,26.192589,26.260403,26.260403,23835261,-27991941.298230566,-71449628,12.955054216877658,-48.0,-0.27681855426901336,47.26763884850267,71.68628254704053,26.440848807692305,26.45855929939903,-28.313717452959462
2014-05-15,26.213032,26.22151,25.800165,25.927814,25.927814,34087331,-41425348.7210239,-105536959,13.111069603333153,-48.0,-0.2765697407437884,43.645298382639304,51.63805912793991,26.373878769230767,26.41924483277688,-48.36194087206009
2014-05-16,25.998121,26.018566,25.701437,25.960226,25.960226,29705333,-22649379.65317787,-75831626,13.387564686798655,-44.0,-0.2706374368052913,44.09493240766386,52.88369975251098,26.290434769230767,26.38524343775637,-47.11630024748902
2014-05-19,25.913855,26.416473,25.808292,26.3706,26.3706,25555972,-948605.706244342,-50275654,12.92460331904685,-28.0,-0.2301690455508556,49.580097522833256,77.99820319557023,26.26724846153846,26.384158738663306,-22.001796804429777
2014-05-20,26.414478,26.738091,26.24295,26.415976,26.415976,35695734,-11696738.634695021,-14579920,12.040703983177405,-28.0,-0.19222029404893703,50.16237093115887,80.3826573958079,26.26565673076923,26.386515572836394,-19.617342604192103
2014-05-21,26.572046,26.885336,26.522682,26.87322,26.87322,23925508,10630102.564839663,9345588,11.456090765049224,-28.0,-0.12382251672921285,55.71260820111225,99.32283946891305,26.27796907692308,26.422567752626293,-0.6771605310869506
2014-05-22,26.98242,27.305035,26.964968,27.178383,27.178383,32316482,18875168.765811913,41662070,11.549134727083933,-28.000000000000004,-0.04447994456442217,58.994783893625396,94.26637723608889,26.294500653846153,26.478554067246566,-5.733622763911114
2014-05-23,27.28808,27.606207,27.110567,27.559336,27.559336,38643806,50210146.45887095,80305876,12.05166790149769,76.0,0.04857934638593164,62.71011069393108,98.13270908371622,26.28713623076923,26.558611988191267,-1.8672909162837668
2014-05-27,27.723885,28.222515,27.641609,28.220022,28.220022,42083223,91932163.08489977,122389099,13.264343002150408,80.0,0.17363973278423472,68.10719308935313,99.92026010622385,26.34438296153846,26.681679396473395,-0.07973989377613616
2014-05-28,28.151211,28.314262,27.9732,28.007107,28.007107,33040464,65461196.78823869,89348635,14.492556250339755,84.0,0.2526580442611497,64.84978384126518,90.32060142073553,26.407785884615386,26.779859218956847,-9.67939857926446
2014-05-29,28.090378,28.122789,27.859013,27.927326,27.927326,27082150,52406577.06354801,62266485,15.387963770809785,84.0,0.3053233875064656,63.621881710469886,87.80645677698138,26.456248961538464,26.864856758293378,-12.193543223018615
2014-05-30,27.963226,27.990652,27.719397,27.917852,27.917852,35422988,68815769.73148018,26843497,15.915713915911194,84.0,0.34235017908035914,63.468197244938324,84.82829887191069,26.519440884615385,26.942856405827204,-15.171701128089303
2014-06-02,27.958241,27.968212,27.21179,27.620667,27.620667,28700582,71142862.40623581,-1857085,15.38962886299662,84.0,0.343751281549018,58.67979895853418,73.45421143781162,26.574616307692306,26.993064597988152,-26.545788562188367
2014-06-03,27.47407,27.541386,27.053225,27.172398,27.172398,37332215,52038207.81435943,-39189300,14.610232201218684,84.0,0.3051722674541004,52.27343447849171,56.29772372814873,26.629772576923074,27.006348553692735,-43.70227627185127
2014-06-04,27.00087,27.355396,26.863747,27.158438,27.158438,36329469,59260002.21194199,-75518769,13.59048193609791,56.0,0.2703551792890906,52.08273556947137,55.76343612756313,26.682531615384615,27.017614438604387,-44.236563872436875
2014-06-05,27.245197,27.671528,27.147964,27.619171,27.619171,33782496,86285921.58302207,-41736273,13.143626259159532,56.0,0.2767494927861449,57.58268764719444,73.39695540267726,26.732778307692307,27.06217418389295,-26.603044597322732
2014-06-06,27.826603,27.826603,27.371351,27.740339,27.740339,34735104,107857375.51028869,-7001169,12.985554837240821,56.0,0.2882712655512343,58.91817541926238,77.09777052398867,26.78967980769231,27.112408614715694,-22.902229476011332
